system:index,LST_Night_1km_max,LST_Night_1km_median,LST_Night_1km_min,LST_Night_1km_stdDev,modis_time,pixel_count,.geo
2008_06_11,13.170000000000016,12.120000000000033,5.590000000000032,1.6780458128430267,1213142400000,40,
2008_06_12,14.170000000000016,13.370000000000033,7.110000000000014,1.5528585737278404,1213228800000,40,
2008_06_13,15.770000000000039,14.31000000000003,11.370000000000005,1.0908160935740019,1213315200000,40,
2008_06_14,18.230000000000018,15.550000000000011,11.29000000000002,1.4606611516707373,1213401600000,40,
2008_06_15,16.090000000000032,14.140000000000043,12.830000000000041,0.7689796811359841,1213488000000,40,
2008_06_16,19.910000000000025,16.710000000000008,13.710000000000036,1.6391423824670919,1213574400000,40,
2008_06_17,18.190000000000055,15.730000000000018,12.930000000000007,1.4238465507209788,1213660800000,40,
2008_06_18,19.170000000000016,16.410000000000025,12.650000000000034,1.6299263020148875,1213747200000,40,
2008_06_19,18.27000000000004,16.140000000000043,10.07000000000005,1.857874053858332,1213833600000,40,
2008_06_20,19.150000000000034,17.76000000000002,13.950000000000045,1.251856221776308,1213920000000,40,
2008_06_21,18.49000000000001,17.390000000000043,12.710000000000036,1.6937350623809082,1214006400000,13,
2008_06_22,15.010000000000048,13.960000000000036,10.050000000000011,1.2320026605310233,1214092800000,36,
2008_06_23,18.710000000000036,17.110000000000042,12.010000000000048,1.437233105658265,1214179200000,40,
2008_06_24,,,,,1214265600000,0,
2008_06_25,19.410000000000025,17.51000000000002,14.690000000000055,1.161462870693693,1214352000000,40,
2008_06_26,16.310000000000002,15.010000000000048,11.710000000000036,1.071394846217927,1214438400000,39,
2008_06_27,19.670000000000016,17.890000000000043,14.010000000000048,1.1167179590209628,1214524800000,40,
2008_06_28,21.79000000000002,20.470000000000027,16.53000000000003,1.1474230911045573,1214611200000,40,
2008_06_29,20.27000000000004,18.58000000000004,15.650000000000034,1.1835538644269201,1214697600000,40,
2008_06_30,20.55000000000001,18.83000000000004,16.77000000000004,1.0160805824342687,1214784000000,40,
2008_07_01,18.110000000000014,17.32000000000002,15.310000000000002,0.73516647774486,1214870400000,40,
2008_07_02,21.130000000000052,19.630000000000052,17.370000000000005,1.0014489502715778,1214956800000,40,
2008_07_03,20.33000000000004,18.890000000000015,15.930000000000007,0.9375025333299193,1215043200000,40,
2008_07_04,,,,,1215129600000,0,
2008_07_05,19.170000000000016,17.960000000000036,15.430000000000007,0.8664437962562727,1215216000000,26,
2008_07_06,18.690000000000055,18.25000000000003,15.890000000000043,0.7403749050311647,1215302400000,40,
2008_07_07,21.07000000000005,20.30000000000001,17.33000000000004,0.7756311945763353,1215388800000,40,
2008_07_08,21.410000000000025,20.230000000000018,19.410000000000025,0.636693803959095,1215475200000,40,
2008_07_09,23.57000000000005,22.110000000000014,17.190000000000055,1.2662257895018956,1215561600000,40,
2008_07_10,22.250000000000057,20.910000000000025,18.930000000000007,0.7110246127948523,1215648000000,40,
2008_07_11,22.510000000000048,20.950000000000017,16.890000000000043,1.1422604781748316,1215734400000,40,
2008_07_12,21.33000000000004,20.10000000000005,16.970000000000027,1.1821479391345688,1215820800000,40,
2008_07_13,21.730000000000018,20.57000000000002,17.79000000000002,0.9014516071315227,1215907200000,40,
2008_07_14,22.710000000000036,20.75000000000003,17.710000000000036,1.0495331104829368,1215993600000,40,
2008_07_15,21.110000000000014,20.06000000000003,18.470000000000027,0.687377443621658,1216080000000,40,
2008_07_16,21.670000000000016,20.470000000000027,17.670000000000016,0.8789526437756556,1216166400000,40,
2008_07_17,19.430000000000007,18.880000000000024,16.05000000000001,1.1906165419646275,1216252800000,40,
2008_07_18,21.870000000000005,20.370000000000033,15.930000000000007,1.2241314267675585,1216339200000,40,
2008_07_19,20.650000000000034,19.480000000000018,15.430000000000007,1.0828332050690486,1216425600000,40,
2008_07_20,21.590000000000032,20.490000000000038,16.910000000000025,1.0343287678489568,1216512000000,40,
2008_07_21,,,,,1216598400000,0,
2008_07_22,,,,,1216684800000,0,
2008_07_23,20.690000000000055,19.930000000000035,16.05000000000001,1.0420795315138185,1216771200000,40,
2008_07_24,20.03000000000003,18.880000000000024,14.830000000000041,1.2061608516279918,1216857600000,40,
2008_07_25,21.49000000000001,20.440000000000026,16.470000000000027,1.040221010170504,1216944000000,40,
2008_07_26,18.49000000000001,17.450000000000045,13.970000000000027,0.977756021513962,1217030400000,39,
2008_07_27,20.77000000000004,19.82000000000002,15.730000000000018,1.0849234996071713,1217116800000,40,
2008_07_28,20.390000000000043,19.120000000000033,15.53000000000003,1.1553943049885878,1217203200000,40,
2008_07_29,19.810000000000002,19.27000000000004,15.450000000000045,0.9826483348583177,1217289600000,40,
2008_07_30,19.370000000000005,18.740000000000038,14.79000000000002,1.1671022877194377,1217376000000,40,
2008_07_31,19.750000000000057,18.950000000000017,16.090000000000032,0.8594880743793051,1217462400000,40,
2008_08_01,20.710000000000036,19.78000000000003,15.670000000000016,1.1198410601509377,1217548800000,40,
2008_08_02,18.130000000000052,17.470000000000027,14.57000000000005,0.8501776551335867,1217635200000,37,
2008_08_03,21.130000000000052,19.690000000000026,15.79000000000002,1.203592019747574,1217721600000,40,
2008_08_04,19.99000000000001,19.27000000000004,16.810000000000002,0.897584397145877,1217808000000,40,
2008_08_05,21.05000000000001,20.04000000000005,15.870000000000005,1.2119066589469654,1217894400000,40,
2008_08_06,,,,,1217980800000,0,
2008_08_07,20.170000000000016,19.090000000000032,17.170000000000016,0.7283335430967002,1218067200000,40,
2008_08_08,21.210000000000036,20.32000000000002,17.07000000000005,0.9981852283019887,1218153600000,40,
2008_08_09,18.650000000000034,18.240000000000038,15.690000000000055,0.8969836955040147,1218240000000,40,
2008_08_10,19.450000000000045,18.940000000000026,13.350000000000023,1.3423751338578618,1218326400000,40,
2008_08_11,18.150000000000034,17.490000000000038,14.490000000000009,0.8030054483002886,1218412800000,40,
2008_08_12,20.850000000000023,19.480000000000047,16.07000000000005,0.9060154524070224,1218499200000,40,
2008_08_13,20.210000000000036,19.26000000000002,15.890000000000043,1.0379276227174288,1218585600000,40,
2008_08_14,22.210000000000036,20.760000000000048,18.210000000000036,0.9904418206033738,1218672000000,40,
2008_08_15,23.49000000000001,21.450000000000017,17.55000000000001,1.343236297156987,1218758400000,40,
2008_08_16,24.03000000000003,21.49000000000001,19.27000000000004,1.05035184581152,1218844800000,40,
2008_08_17,23.930000000000007,20.890000000000043,17.55000000000001,1.3891850128763212,1218931200000,40,
2008_08_18,19.33000000000004,18.29000000000002,16.510000000000048,0.6848487059199898,1219017600000,40,
2008_08_19,,,,,1219104000000,0,
2008_08_20,,,,,1219190400000,0,
2008_08_21,12.090000000000032,12.090000000000032,12.090000000000032,0.0,1219276800000,1,
2008_08_22,18.310000000000002,17.870000000000005,15.930000000000007,0.6085702588854746,1219363200000,25,
2008_08_23,19.07000000000005,18.30000000000004,15.350000000000023,0.7403776063603905,1219449600000,40,
2008_08_24,20.83000000000004,18.910000000000025,15.690000000000055,1.0873673482314996,1219536000000,40,
2008_08_25,17.57000000000005,16.56000000000003,13.990000000000009,0.8832958482612636,1219622400000,30,
2008_08_26,18.07000000000005,17.410000000000025,14.350000000000023,1.117321947038262,1219708800000,36,
2008_08_27,,,,,1219795200000,0,
2008_08_28,18.810000000000002,17.710000000000036,13.110000000000014,1.173801942407709,1219881600000,40,
2008_08_29,19.310000000000002,18.06000000000003,14.190000000000055,1.4522615983354736,1219968000000,40,
2008_08_30,20.130000000000052,18.640000000000043,16.07000000000005,0.9582358791027881,1220054400000,40,
2008_08_31,16.350000000000023,14.350000000000051,12.690000000000055,1.0862729348045568,1220140800000,12,
2008_09_01,13.830000000000041,12.960000000000008,12.190000000000055,0.6687862139727392,1220227200000,4,
2008_09_02,15.510000000000048,14.830000000000041,12.190000000000055,0.8967980330141821,1220313600000,21,
2008_09_03,14.210000000000036,13.450000000000045,10.830000000000041,1.1961003302399005,1220400000000,5,
2008_09_04,17.07000000000005,15.470000000000027,10.670000000000016,1.3301992752098415,1220486400000,39,
2008_09_05,16.130000000000052,15.200000000000045,11.510000000000048,1.1569821735878338,1220572800000,40,
2008_09_06,17.950000000000045,16.330000000000013,10.970000000000027,1.5268975080207694,1220659200000,40,
2008_09_07,17.870000000000005,16.49000000000001,13.930000000000007,1.0278029966876687,1220745600000,40,
2008_09_08,18.55000000000001,16.58000000000004,14.630000000000052,0.9818915418721167,1220832000000,40,
2008_09_09,18.730000000000018,17.130000000000052,11.79000000000002,1.6588381476201974,1220918400000,40,
2008_09_10,16.310000000000002,15.340000000000032,12.390000000000043,1.080791261067655,1221004800000,40,
2008_09_11,17.810000000000002,16.430000000000007,9.490000000000009,1.8195910992784403,1221091200000,39,
2008_09_12,16.57000000000005,15.090000000000032,9.850000000000023,1.8897233450925273,1221177600000,36,
2008_09_13,18.03000000000003,16.79000000000002,13.870000000000005,0.953612080460404,1221264000000,40,
2008_09_14,17.77000000000004,16.160000000000053,11.350000000000023,1.6613172484507408,1221350400000,40,
2008_09_15,19.090000000000032,17.730000000000018,14.810000000000002,1.0802032216207702,1221436800000,40,
2008_09_16,19.670000000000016,17.860000000000014,13.710000000000036,1.419411761963374,1221523200000,40,
2008_09_17,15.390000000000043,14.57000000000005,11.630000000000052,0.8230479937403382,1221609600000,25,
2008_09_18,17.410000000000025,16.190000000000055,11.510000000000048,1.3462193879037812,1221696000000,39,
2008_09_19,14.310000000000002,13.510000000000048,9.830000000000041,1.1999304963868265,1221782400000,27,
2008_09_20,15.750000000000057,14.53000000000003,11.270000000000039,1.2538807025896137,1221868800000,35,
2008_09_21,13.29000000000002,13.03000000000003,10.590000000000032,0.7890975858536226,1221955200000,16,
2008_09_22,14.090000000000032,12.840000000000032,10.150000000000034,0.9894215481785515,1222041600000,20,
2008_09_23,11.770000000000039,11.590000000000032,8.57000000000005,1.0642770852957972,1222128000000,7,
2008_09_24,14.650000000000034,12.980000000000018,7.130000000000052,1.4456381808737473,1222214400000,40,
2008_09_25,12.010000000000048,10.79000000000002,9.750000000000057,0.6389574842402685,1222300800000,9,
2008_09_26,13.210000000000036,11.330000000000041,7.07000000000005,1.491877399067871,1222387200000,37,
2008_09_27,14.630000000000052,13.81000000000003,7.750000000000057,1.6187858876330707,1222473600000,40,
2008_09_28,13.870000000000005,12.370000000000005,7.910000000000025,1.3867940546454647,1222560000000,40,
2008_09_29,16.07000000000005,14.660000000000025,11.07000000000005,1.2050854741470272,1222646400000,40,
2008_09_30,,,,,1222732800000,0,
2008_10_01,15.550000000000011,14.77000000000001,11.350000000000023,0.9511698060809295,1222819200000,40,
2008_10_02,14.650000000000034,12.07000000000005,8.03000000000003,1.5112655120037892,1222905600000,37,
2008_10_03,,,,,1222992000000,0,
2008_10_04,,,,,1223078400000,0,
2008_10_05,,,,,1223164800000,0,
2008_10_06,12.07000000000005,11.370000000000005,8.330000000000041,0.9896616098651188,1223251200000,28,
2008_10_07,9.79000000000002,8.670000000000016,6.57000000000005,0.8936419864800496,1223337600000,10,
2008_10_08,,,,,1223424000000,0,
